name,score
Miles Fisher,2.75145
Sebastian Koch,2.73597
Dane Cook,2.73091
Ninja,2.7303
Carrie-Anne Moss,2.72757
Bruce Willis,2.72626
Megan Fox,2.68544
Ice Cube,2.68235
Stanley Tucci,2.67907
Aamir Khan,2.66773
Stacy Keach,2.65618
Sarah Wayne Callies,2.6525
Rob Corddry,2.64703
Joel Edgerton,2.64563
Sophie Okonedo,2.64352
Sanjay Dutt,2.64223
Will Smith,2.63521
Kelsey Grammer,2.63496
William Fichtner,2.63382
Michelle Pfeiffer,2.63233
Famke Janssen,2.62446
Charlotte Marshall-Fricker,2.61085
Tom McGrath,2.60976
Sean Bean,2.60309
Chris Miller,2.60307
Jaden Smith,2.58746
Zac Efron,2.57424
Jayma Mays,2.5118
Matt Walsh,2.50955
Hank Azaria,2.47381
Annabelle Wallis,2.46985
Taylor Lautner,2.41349
Billy Burke,2.411
Kevin James,2.40265
Kevin Hart,2.40155
Kit Harington,2.39805
Gil Birmingham,2.37989
Tim Downie,2.35731
Emily Browning,2.3339
Rosario Dawson,2.31589
Leslie Bibb,2.3063
Jenny Slate,2.27487
Robin Williams,2.25004
Ciar_n Hinds,2.23572
Madeleine Worrall,2.21006
Kaley Cuoco,2.2063
Ward Horton,2.17066
Mark Chao,2.16365
Violante Placido,2.15459
Russell Brand,2.08014
Chris Rock,2.04851
Ben Barnes,2.0325
Garrett Hedlund,2.018
Carlos Alazraqui,1.91114
Tony Amendola,1.8955
Amy Poehler,1.88266
Angourie Rice,1.83556
Adrian Martinez,1.78878
Katie Holmes,1.78649
Jason Lee,1.77283
Al Pacino,1.75487
Jessica Lowndes,1.69153
Daren Kagasoff,1.59934
Ed Oxenbould,1.59525
Jeffrey Garcia,1.56199
David Cross,1.53614
Kelly Reilly,1.52997
Zishan Yang,1.48541
Dev Patel,1.47552
Zheng Xu,1.46472
Olivia Cooke,1.45732
Quvenzhan_ Wallis,1.45633
Julie Bowen,1.43238
Dakota Johnson,1.41775
Kathy Bates,1.41368
Lily James,1.39753
Jim Parsons,1.37018
Ana Coto,1.35777
Gia Mantegna,1.3343
Steve Martin,1.3334
